cellId,position,taskId,condition,repetition,runId,lifecycle,classification,finalSha,criteriaSatisfied,criteriaTotal,coverage,leafCount,splitAdvantage,durationSeconds,tokens,costUsd,failureModes,sourceRun
g6-01-T1-A-r1,1,T1,A,1,ce677946-dee3-494d-af62-20baecbd267f,completed,attributable,3d6cdb15964891ee512817217d7cdabf254a6933,9,10,0.9,1,-0.0417,1130.765,146202,null,criterion:behaviour-backorder-recorded,g6-01-T1-A-r1-codex-medium
g6-02-T1-C-r1,2,T1,C,1,e6442dc5-c1e7-429d-8f6b-b913c06c8ed2,completed,attributable,0447b738edce84aea923dde723169259e4239538,7,10,0.7,6,0.5362,1152.434,291539,null,criterion:gate-typecheck|criterion:gate-build|criterion:behaviour-backorder-recorded,g6-02-T1-C-r1-remediation-6
g6-03-T1-B-r1,3,T1,B,1,c7e47c17-c57d-41c4-a4a2-0e65857c929e,completed,attributable,4fd86c11b2541460411b8708f8eaa05eb6337d2b,9,10,0.9,7,0.7283,2132.602,354005,1.5930225,criterion:behaviour-backorder-recorded,g6-03-T1-B-r1-remediation-26-full
g6-04-T1-C-r2,4,T1,C,2,a0f0edba-94e7-4fd7-9405-df62f9be7eda,completed,attributable,a41b4babfaef5d45073ed577af1b27860eb6b615,9,10,0.9,7,0.4539,1607.244,305868,1.376406,criterion:behaviour-backorder-recorded,g6-04-T1-C-r2-full
g6-05-T1-A-r2,5,T1,A,2,d2baaa3f-6775-4b1f-a884-33893602e86a,completed,attributable,a8831b8c1160bd1ce6854be8c7eda3c91791338f,9,10,0.9,1,-0.0417,1137.681,156444,0.703998,criterion:behaviour-backorder-recorded,g6-05-T1-A-r2-full
g6-06-T1-B-r2,6,T1,B,2,d13ef9ff-0c56-4d5f-b4a8-4656e57bb951,completed,attributable,f53cced0213ca57514dc4863189a7d47ba387168,8,10,0.8,6,0.4992,1656.277,271852,1.223334,criterion:gate-typecheck|criterion:gate-build,g6-06-T1-B-r2-remediation-39-full
